sku,nombre,categoria,subcategoria,grupo_edad,talla,color,temporada,precio
M-001,Polera mujer S negro,mujer,polera,adulto,S,negro,primavera,9990.0
M-002,Camisa mujer M blanco,mujer,camisa,adulto,M,blanco,verano,15990.0
M-003,Jeans mujer L azul,mujer,jeans,adulto,L,azul,otoño,26990.0
M-004,Pantalon mujer XL rojo,mujer,pantalon,adulto,XL,rojo,invierno,22990.0
M-005,Vestido mujer S gris,mujer,vestido,adulto,S,gris,primavera,28990.0
M-006,Falda mujer M verde,mujer,falda,adulto,M,verde,verano,19990.0
M-007,Chaqueta mujer L beige,mujer,chaqueta,adulto,L,beige,otoño,39990.0
M-008,Poleron mujer XL rosado,mujer,poleron,adulto,XL,rosado,invierno,22990.0
M-009,Abrigo mujer S negro,mujer,abrigo,adulto,S,negro,primavera,56990.0
M-010,Short mujer M blanco,mujer,short,adulto,M,blanco,verano,14990.0
M-011,Polera mujer L azul,mujer,polera,adulto,L,azul,otoño,10990.0
M-012,Camisa mujer XL rojo,mujer,camisa,adulto,XL,rojo,invierno,16990.0
M-013,Jeans mujer S gris,mujer,jeans,adulto,S,gris,primavera,24990.0
M-014,Pantalon mujer M verde,mujer,pantalon,adulto,M,verde,verano,23990.0
M-015,Vestido mujer L beige,mujer,vestido,adulto,L,beige,otoño,29990.0
M-016,Falda mujer XL rosado,mujer,falda,adulto,XL,rosado,invierno,17990.0
M-017,Chaqueta mujer S negro,mujer,chaqueta,adulto,S,negro,primavera,40990.0
M-018,Poleron mujer M blanco,mujer,poleron,adulto,M,blanco,verano,23990.0
M-019,Abrigo mujer L azul,mujer,abrigo,adulto,L,azul,otoño,54990.0
M-020,Short mujer XL rojo,mujer,short,adulto,XL,rojo,invierno,15990.0
H-001,Polera hombre M azul,hombre,polera,adulto,M,azul,verano,9990.0
H-002,Camisa hombre L rojo,hombre,camisa,adulto,L,rojo,otoño,16990.0
H-003,Jeans hombre XL gris,hombre,jeans,adulto,XL,gris,invierno,27990.0
H-004,Pantalon hombre S verde,hombre,pantalon,adulto,S,verde,primavera,26990.0
H-005,Chaqueta hombre M beige,hombre,chaqueta,adulto,M,beige,verano,41990.0
H-006,Poleron hombre L rosado,hombre,poleron,adulto,L,rosado,otoño,23990.0
H-007,Abrigo hombre XL negro,hombre,abrigo,adulto,XL,negro,invierno,58990.0
H-008,Short hombre S blanco,hombre,short,adulto,S,blanco,primavera,17990.0
H-009,Parka hombre M azul,hombre,parka,adulto,M,azul,verano,49990.0
H-010,Chino hombre L rojo,hombre,chino,adulto,L,rojo,otoño,22990.0
H-011,Polera hombre XL gris,hombre,polera,adulto,XL,gris,invierno,11990.0
H-012,Camisa hombre S verde,hombre,camisa,adulto,S,verde,primavera,18990.0
H-013,Jeans hombre M beige,hombre,jeans,adulto,M,beige,verano,25990.0
H-014,Pantalon hombre L rosado,hombre,pantalon,adulto,L,rosado,otoño,24990.0
H-015,Chaqueta hombre XL negro,hombre,chaqueta,adulto,XL,negro,invierno,43990.0
H-016,Poleron hombre S blanco,hombre,poleron,adulto,S,blanco,primavera,25990.0
H-017,Abrigo hombre M azul,hombre,abrigo,adulto,M,azul,verano,56990.0
H-018,Short hombre L rojo,hombre,short,adulto,L,rojo,otoño,15990.0
H-019,Parka hombre XL gris,hombre,parka,adulto,XL,gris,invierno,51990.0
H-020,Chino hombre S verde,hombre,chino,adulto,S,verde,primavera,24990.0
N-001,Polera niño 6 rojo,unisex,polera,nino,6,rojo,primavera,7990.0
N-002,Poleron niño 8 gris,unisex,poleron,nino,8,gris,verano,13490.0
N-003,Jeans niño 10 verde,unisex,jeans,nino,10,verde,otoño,15990.0
N-004,Pantalon niño 12 beige,unisex,pantalon,nino,12,beige,invierno,14490.0
N-005,Chaqueta niño 6 rosado,unisex,chaqueta,nino,6,rosado,primavera,24990.0
N-006,Polera niño 8 negro,unisex,polera,nino,8,negro,verano,8490.0
N-007,Poleron niño 10 blanco,unisex,poleron,nino,10,blanco,otoño,12990.0
N-008,Jeans niño 12 azul,unisex,jeans,nino,12,azul,invierno,16490.0
N-009,Pantalon niño 6 rojo,unisex,pantalon,nino,6,rojo,primavera,13990.0
N-010,Chaqueta niño 8 gris,unisex,chaqueta,nino,8,gris,verano,25490.0
